Cod valuta,Nume valuta,17.Mart.2025,Change 1,14.Mart.2025,Change 2,13.Mart.2025,Change 3
EUR,Euro,4.9773,+0.0005,4.9768,-0.0002,4.9770,-0.0001
USD,Dolarul SUA,4.5636,+0.0011,4.5625,-0.0170,4.5795,+0.0159
CHF,Francul elvetian,5.1701,+0.0091,5.1610,-0.0258,5.1868,+0.0169
GBP,Lira sterlina,5.9180,+0.0098,5.9082,-0.0235,5.9317,+0.0291
BGN,Leva bulgareasca,2.5448,+0.0002,2.5446,-0.0001,2.5447
RUB,Rubla ruseasca,0.0542,+0.0009,0.0533,+0.0002,0.0531,+0.0004
ZAR,Randul sud-african,0.2515,+0.0008,0.2507,+0.0014,0.2493,+0.0011
BRL,Realul brazilian,0.7943,+0.0076,0.7867,-0.0030,0.7897,+0.0042
CNY,Renminbi-ul chinezesc(RMB),0.6309,+0.0001,0.6308,-0.0011,0.6319,+0.0019
INR,Rupia indiana,0.0526,+0.0001,0.0525,-0.0001,0.0526,+0.0003
MXN,Peso-ul mexican,0.2291,+0.0011,0.2280,+0.0010,0.2270,+0.0016
NZD,Dolarul neo-zeelandez,2.6406,+0.0288,2.6118,+0.0015,2.6103,+0.0044
RSD,Dinarul sarbesc,0.0425
UAH,Hryvna ucraineana,0.1100
XDR,DST,6.0843,+0.0025,6.0818,-0.0161,6.0979,+0.0166
TRY,Noua lira turceasca,0.1243
XAU,Gramul de aur,439.7889,+0.7883,439.0006,+5.4956,433.5050,+5.9479
AUD,Dolarul australian,2.8984,+0.0203,2.8781,-0.0021,2.8802,+0.0097
CAD,Dolarul canadian,3.1801,+0.0145,3.1656,-0.0201,3.1857,+0.0219
CZK,Coroana ceha,0.1990,+0.0003,0.1987,+0.0002,0.1985,-0.0005
DKK,Coroana daneza,0.6671
EGP,Lira egipteana,0.0904,+0.0003,0.0901,-0.0003,0.0904,+0.0003
MDL,Leul moldovenesc,0.2560,-0.0006,0.2566,-0.0002,0.2568,+0.0012
NOK,Coroana norvegiana,0.4318,+0.0040,0.4278,-0.0013,0.4291,+0.0012
PLN,Zlotul polonez,1.1890,-0.0024,1.1914,+0.0055,1.1859,-0.0005
SEK,Coroana suedeza,0.4519,+0.0019,0.4500,-0.0004,0.4504,-0.0024
AED,Dirhamul EmiratelorArabe,1.2426,+0.0003,1.2423,-0.0046,1.2469,+0.0043
THB,Bahtul thailandez,0.1358,+0.0001,0.1357,+0.0002,0.1355,+0.0007
HKD,Dolarul din Hong Kong,0.5873,+0.0004,0.5869,-0.0024,0.5893,+0.0019
ILS,Shekelul israelian,1.2478,+0.0080,1.2398,-0.0158,1.2556,+0.0023
MYR,Ringgitul malaysian,1.0267,+0.0006,1.0261,-0.0058,1.0319,+0.0019
PHP,Pesoul filipinez,0.0797,+0.0001,0.0796,-0.0002,0.0798,+0.0001
SGD,Dolarul singaporez,3.4254,+0.0059,3.4195,-0.0100,3.4295,+0.0073
