title,date,location,url,continent,status,latitude,longitude,city_name
HYROX World Championships 2025 Chicago,CHI,CHI,https://hyrox.com/event/hyrox-world-championships-2025-chicago/,,Active,,,World Championships 2025 Chicago
AIA HYROX Open Asian Championships,SGP,SGP,https://hyrox.com/event/hyrox-singapore/,,Active,,,Open Asian Championships
F45 HYROX Sydney,SYD,SYD,https://hyrox.com/event/hyrox-sydney/,,Active,-33.8698439,151.2082848,Sydney
HYROX Cape Town,CPT,CPT,https://hyrox.com/event/hyrox-cape-town/,,Active,-33.9288301,18.4172197,Cape Town
HYROX Abu Dhabi,AUH,AUH,https://hyrox.com/event/hyrox-abu-dhabi/,,Active,24.4538352,54.3774014,Abu Dhabi
HYROX DELHI,DEL,DEL,https://hyrox.com/event/hyrox-delhi/,,Active,28.6273928,77.1716954,DELHI
Cigna Healthcare HYROX Hong Kong,HKG,HKG,https://hyrox.com/event/hyrox-hong-kong/,,Active,22.350627,114.1849161,Hong Kong
HYROX Yokohama,YOK,YOK,https://hyrox.com/event/hyrox-yokohama/,,Active,35.4503381,139.6343802,Yokohama
HYROX Beijing,PEK,PEK,https://hyrox.com/event/hyrox-beijing/,,Active,40.190632,116.412144,Beijing
HYROX Perth,PER,PER,https://hyrox.com/event/hyrox-perth/,,Active,-31.9558967,115.8605784,Perth
Smart Fit HYROX Acapulco,ACA,ACA,https://hyrox.com/event/smart-fit-hyrox-acapulco/,,Active,16.8680495,-99.8940182,Acapulco
Sports World HYROX Maastricht,MAA,MAA,https://hyrox.com/event/hyrox-maastricht/,,Active,50.8579855,5.6969882,Maastricht
HYROX São Paulo,SP,SP,https://hyrox.com/event/hyrox-sao-paulo/,,Active,-23.5506507,-46.6333824,São Paulo
Adrenalin HYROX Oslo,OSL,OSL,https://hyrox.com/event/hyrox-oslo/,,Active,59.9133301,10.7389701,Oslo
HYROX Roma,RM,RM,https://hyrox.com/event/hyrox-roma/,,Active,41.8933203,12.4829321,Rome
Intersport HYROX Hamburg,HAM,HAM,https://hyrox.com/event/intersport-hyrox-hamburg/,,Active,53.550341,10.000654,Hamburg
F45 HYROX Toronto,TOR,TOR,https://hyrox.com/event/hyrox-toronto/,,Active,43.6534817,-79.3839347,Toronto
LET’S GO FITNESS HYROX GENEVA,GVA,GVA,https://hyrox.com/event/lets-go-fitness-hyrox-geneva/,,Active,,,LETS GO FITNESS  GENEVA
HYROX GDANSK,GDN,GDN,https://hyrox.com/event/hyrox-gdansk/,,Active,54.4288032,18.798327,GDANSK
HYROX Valencia,VLC,VLC,https://hyrox.com/event/hyrox-valencia/,,Active,39.4697065,-0.3763353,Valencia
FITNESS PARK HYROX PARIS,PAR,PAR,https://hyrox.com/event/hyrox-paris/,,Active,48.8588897,2.320041,PARIS
HYROX Birmingham,BIR,BIR,https://hyrox.com/event/hyrox-birmingham/,,Active,52.4796992,-1.9026911,Birmingham
HYROX Stuttgart,STR,STR,https://hyrox.com/event/hyrox-stuttgart/,,Active,48.7784485,9.1800132,Stuttgart
HYROX Ciudad de México,MEX,MEX,https://hyrox.com/event/hyrox-ciudad-de-mexico/,,Active,19.3207722,-99.1514678,Mexico City
HYROX Seoul,SEL,SEL,https://hyrox.com/event/hyrox-seoul/,,Active,37.5666791,126.9782914,Seoul
Sports Direct HYROX Dublin,DUB,DUB,https://hyrox.com/event/hyrox-dublin/,,Active,53.3493795,-6.2605593,Dublin
HYROX Chicago,CHI,CHI,https://hyrox.com/event/hyrox-chicago/,,Active,41.8755616,-87.6244212,Chicago
HYROX BORDEAUX,BDX,BDX,https://hyrox.com/event/hyrox-bordeaux/,,Active,44.841225,-0.5800364,BORDEAUX
HYROX Dallas,DAL,DAL,https://hyrox.com/event/hyrox-dallas/,,Active,32.7762719,-96.7968559,Dallas
HYROX Madrid,MAD,MAD,https://hyrox.com/event/hyrox-madrid/,,Active,40.4167047,-3.7035825,Madrid
HYROX Utrecht,UTR,UTR,https://hyrox.com/event/hyrox-utrecht/,,Active,52.0907006,5.1215634,Utrecht
HYROX Rio de Janeiro,RIO,RIO,https://hyrox.com/event/hyrox-rio-de-janeiro/,,Active,-22.9110137,-43.2093727,Rio de Janeiro
HYROX London,LON,LON,https://hyrox.com/event/hyrox-london-excel/,,Active,51.4893335,-0.1440551,London
HYROX Verona,VR,VR,https://hyrox.com/event/hyrox-verona/,,Active,45.4424977,10.9857377,Verona
HYROX Melbourne,MEL,MEL,https://hyrox.com/event/hyrox-melbourne/,,Active,-37.8142454,144.9631732,Melbourne
HYROX Frankfurt,FRA,FRA,https://hyrox.com/event/hyrox-frankfurt/,,Active,50.1106444,8.6820917,Frankfurt
HYROX Anaheim,ANA,ANA,https://hyrox.com/event/hyrox-anaheim/,,Active,33.8347516,-117.911732,Anaheim
HYROX POZNAN,POZ,POZ,https://hyrox.com/event/hyrox-poznan/,,Active,52.4082663,16.9335199,POZNAN
INTERSPORT HYROX Stockholm,STO,STO,https://hyrox.com/event/hyrox-stockholm/,,Active,59.2428446,18.0905794,INTERSPORT  Stockholm
